sample_id,dataset,query,gold_label,human_label,is_conflict,notes
4257,ambigdocs,What is Richard Griffiths known for?,neutral,,,
2bd4449501724e9480b7fbf263bdf30c,faitheval,The Koppen Classification System is used for classifying what?,neutral,,,
38038,ambigdocs,What is the current use of the Lackawanna Terminal?,neutral,,,
13632,ambigdocs,What is Henry Gibson known for?,neutral,,,
36677,ambigdocs,What is Brindabella?,neutral,,,
41636,ambigdocs,What is the population of Port Vincent?,neutral,,,
27472,ambigdocs,"What is the medium of ""Psychopathia Sexualis""?",neutral,,,
conflicts-215,conflicts,When was the Allyn House built?,neutral,,,
9515a3b4dbf8474a9fd940f5a6a2d682,faitheval,What was the game-winning distance of the field goal after the penalty was assessed?,neutral,,,
23089,ambigdocs,"What does the term ""mashup"" refer to?",neutral,,,
01ba882e1f3d48e68d1374f5917a06cd,faitheval,"Bizarrely, Orson Welles played Captain Ahab, Starbuck & Ishmael in a 1971 experimental film version of this",neutral,,,
c979d4fd7d7f49bfa5b64cc6bf77699a,faitheval,"Tita's desire for Pedro becomes a part of the food she prepares, & people who eat it literally smolder in this film",neutral,,,
45277,ambigdocs,Where was Judge Hayes born?,neutral,,,
11216,ambigdocs,What is Steve Little known for?,neutral,,,
11912,ambigdocs,What sport is Sean White associated with?,neutral,,,
20366,ambigdocs,What is Camperdown known for?,neutral,,,
0859410831934f4c8f0ee3d2f2ef0fec,faitheval,"Presented in February 2013, which film won the 2012 Best Film Oscar?",neutral,,,
conflicts-475,conflicts,When was the Sumter County Courthouse built?,neutral,,,
33163,ambigdocs,When was the Japanese Democratic Party founded?,neutral,,,
conflicts-208,conflicts,What is the population of Orrock?,neutral,,,
7738,ambigdocs,Where is Port Burwell located?,neutral,,,
60699,ambigdocs,What was the significant development in the Menier business?,neutral,,,
43334,ambigdocs,What is the capacity of the Olimpiysky stadium?,neutral,,,
16204,ambigdocs,Which railroads used Central Station (Chicago)?,neutral,,,
a45f5496f4f74cfd8aa203026ca71964,faitheval,How can the deposition of compliment kill invader cells directly?,neutral,,,
18663,ambigdocs,Where is Aviation High School located?,neutral,,,
49470,ambigdocs,"What is ""Oh Yeah"" primarily known for?",neutral,,,
5470,ambigdocs,What is the location of Bhattian?,neutral,,,
22034,ambigdocs,"What does the term ""Cooties"" refer to?",neutral,,,
7375,ambigdocs,When was the David Jones House built?,neutral,,,
33818,ambigdocs,What is the Derveni?,neutral,,,
58234,ambigdocs,What is the definition of Hasse invariant?,neutral,,,
57010,ambigdocs,What is the notable military service of General Houghton?,neutral,,,
22938,ambigdocs,"What is the population of Pinehurst, Texas?",neutral,,,
16216,ambigdocs,Who was Frances Scudamore married to?,neutral,,,
50250,ambigdocs,"What is the medium of ""Example""?",neutral,,,
59714,ambigdocs,What is Al Merreikh?,neutral,,,
58482,ambigdocs,When was the Columbia County Courthouse built?,neutral,,,
45073,ambigdocs,"Who is the artist of the album ""Wishes""?",neutral,,,
bf67147dbb8b4439aac68105406d3fb3,faitheval,The 2015 CrossFit Games were held at what multiple-use sports complex that is approximately 14 miles south of Downtown Los Angeles?,neutral,,,
49486,ambigdocs,Who is the composer of Mass No. 2?,neutral,,,
conflicts-65,conflicts,What is the population of Gniewkowo?,neutral,,,
37977,ambigdocs,What is Babille known for?,neutral,,,
22598,ambigdocs,What is Ladner?,neutral,,,
0ef4f88a57b8453ba2c3aaa4c9960574,faitheval,What was the skeleton named after?,neutral,,,
conflicts-324,conflicts,"What sport is a ""Perfect Score"" associated with?",neutral,,,
38950,ambigdocs,Where is LVHS located?,neutral,,,
5271,ambigdocs,What is Grays River known for?,neutral,,,
48395,ambigdocs,What is Suniti known for?,neutral,,,
2e43f23357fc484d8230db7d406dcab5,faitheval,"as almost all organisms on earth obtain their energy from photosynthetic organisms, it could be said that ultimately all energy comes from _________.",neutral,,,
b8b1b13f11b341f1914c2223293e434b,faitheval,where did students for a democratic society start,neutral,,,
5746,ambigdocs,What was the title of John Beaufort?,neutral,,,
19711,ambigdocs,Who is associated with Roborough?,neutral,,,
c7b5bfd70dd94d2399bcbfbd1ca2df98,faitheval,What is the 7.9-inch iPad Mini's major contribution to the customers?,neutral,,,
46470,ambigdocs,"What is the genre of ""Can of Worms""?",neutral,,,
65187,ambigdocs,What is Aberffraw?,neutral,,,
17165,ambigdocs,What is the profession of Drew Friedman?,neutral,,,
5262,ambigdocs,What is the profession of Geoffrey Miller?,neutral,,,
40713,ambigdocs,When was the Pulaski County Courthouse built?,neutral,,,
59409,ambigdocs,What is the San Francisco Fog?,neutral,,,
